instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran,decision_phase_AFC.thisRepN,decision_phase_AFC.thisTrialN,decision_phase_AFC.thisN,decision_phase_AFC.thisIndex,decision_phase_AFC.ran,blockN,BlockLabel1,questIm1,BlockLabel2,questIm2,BlockLabel3,questIm3,quest_condition,showForcedChoice.thisRepN,showForcedChoice.thisTrialN,showForcedChoice.thisN,showForcedChoice.thisIndex,showForcedChoice.ran
0.410590363,-0.397916667,1,0,0,instruction_button,0,0,0,0,1,images/instructions_part1_LSM_taskversion1/Slide1.JPG,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.410590363,-0.397916667,1,0,0,instruction_button,0,1,1,1,1,images/instructions_part1_LSM_taskversion1/Slide2.JPG,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.410590363,-0.399305598,1,0,0,instruction_button,0,2,2,2,1,images/instructions_part1_LSM_taskversion1/Slide3.JPG,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.410590363,-0.399305598,1,0,0,instruction_button,0,3,3,3,1,images/instructions_part1_LSM_taskversion1/Slide3.5.JPG,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.410590363,-0.399305598,1,0,0,instruction_button,0,4,4,4,1,images/instructions_part1_LSM_taskversion1/Slide4.JPG,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.410590363,-0.399305598,1,0,0,instruction_button,0,5,5,5,1,images/instructions_part1_LSM_taskversion1/Slide6.5.JPG,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,"[""left"",""right""]","[2.361200000002981,4.162499999999994]",,calibration,No Brainslug No Barriers No Money,1,100,5.4772,2,0,0,TRUE,na,na,na,na,0,0,0,0,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,"[""left""]",[2.542999999999992],,calibration,No Brainslug No Barriers No Money,2,100,5.4823,1,0,0,TRUE,na,na,na,na,0,1,1,2,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,"[""left""]",[2.3630999999940343],,calibration,No Brainslug No Barriers No Money,3,100,5.4844,1,0,0,TRUE,na,na,na,na,0,2,2,1,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.355034765,-0.397916667,1,0,0,instruction_button,,,,,,images/instructions_part2_LSM_taskversion3.jpg,,001,3,2025-03-21_10h05.47.171,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
